Contract Number,Vendor Number,Vendor Name,Amount,Description,System Release,Lead Department,Start Date,End Date,Category,Commodity Category
03-42-465,745899,OPTICAL IMAGE TECHNOLOGY INC,1350000.00,SOFTWARE MAINTENANCE,05/20/2003,New & Replacement Capital Eqpt - 717,12/01/2007,11/30/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/03-42-465.pdf),
07-84-173,469751,CANON BUSINESS SOLUTIONS,3145320.00,PHOTOCOPIER LEASING,05/16/2007,1490.FIXED CHRGS & SPECL PURP APPR,09/01/2007,08/31/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/07-84-173.pdf),
08-45-256,804025,SECURUS TECHNOLOGIES INC,0.00,COINLESS INMATE PAYPHONES,11/20/2007,1009.ENTERPRISE TECHNOLOGY,,,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-45-256.pdf),
08-41-50,78906,LEXIS-NEXIS,2502000.00,ONLINE RESEARCH,12/19/2007,SHE Chicago HIDTA - 655,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-50.pdf),
08-41-127,81206,DELOITTE & TOUCHE,6064000.00,PROFESSIONAL AUDIT SERVICE,04/10/2008,1490.FIXED CHRGS & SPECL PURP APPR,01/01/2008,12/31/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-127.pdf),
08-41-192,770660,MAJOR SCALE TECHNOLOGY MGMT,1950000.00,INFORMATION TECH SERV MANAGER,04/24/2008,1533.COUNTY CLERK AUTOMATION,04/15/2008,10/31/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-192.pdf),
08-41-235,75440,JOHNSON CONTROLS INC,26895619.00,PROJECT SHIELD PHASE III,05/01/2008,EMHS Homeland Security - 769,04/01/2008,12/31/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-235.pdf),
08-41-215,798845,RESPIRATORY HEALTH ASSN,6050505.00,PROF SERVICE,05/12/2008,(none selected),03/06/2008,03/05/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-215.pdf),
08-84-03,759226,KEEFE COMMISSARY NETWORK LLC,2522000.00,COMMISSARY MANAGEMENT SERVICES,06/03/2008,1239.DEPARTMENT OF CORRECTIONS,06/30/2008,06/30/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-84-03.pdf),
08-41-247,76730,SENTINEL TECHNOLOGIES INC,12442312.00,COMPUTER AND HARDWARE MAINTENANCE,07/07/2008,1012.DEPARTMENT OF MIS,02/01/2008,01/31/2012,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-247.pdf),
08-41-214,817457,MORPHO TRAK INC,1430822.00,MAINTENANCE SCAN MACHINES,09/05/2008,1231.POLICE DEPARTMENT,12/01/2007,11/30/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-214.pdf),
08-53-193,746154,ANDERSON ELEVATOR,8912758.00,COUNTYWIDE ELEVATOR MAINT.,09/08/2008,1200.DEPT. OF FACILITIES/MGMT,09/03/2008,09/02/2011,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-53-193.pdf),
08-41-321,824612,G4S SECURE SOLUTIONS (USA) INC,13712848.00,SECURITY SERVICES,10/16/2008,1569.COOK COUNTY JUVENILE TEMPORARY DETENTION CENTER,06/01/2008,11/30/2011,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/08-41-321.pdf),
08-84-252,783575,KONICA MINOLTA BUSINESS SOLUTIONS,4817340.00,PHOTOCOPIER LEASING,10/16/2008,1011.OFFICE OF CHIEF ADMIN OFFICER,11/02/2008,11/01/2013,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/08-84-252.pdf),
