Posting Date,Contract Number,Description,Department,Recommended Action,Recommended Vendor,Contract Amount,MBE/WBE/DBE Participation,MBE/WBE/DBE type,Direct Participation,Indirect Participation,# of Bids Received,# of M/WBE Bids Received,CCA Concurs,Link
06/03/2016,1590-14938,Insurance Brokerage Services,Risk Management - 008,Award,"Mesirow Insurance Services, Inc.",30114455.00,,DNA,,,2,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1590-14938,,,,,,"CS Insurance Strategies, Inc.",MBE (6),25,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1590-14938,,,,,,"Risks & Insurance Management Services, Inc.",WBE (7),10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1515-14998R,Continuous and Multi-Event Sequential Air Monitors,Depart. of Environmental Ctrl - 161,Award,"Met One Instruments, Inc.",162487.25,,Full Waiver Granted,,,2,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1685-15562,CDBG-DR Program,Planning & Development - 013,Award,"CDM Smith, Inc.",1997184.00,,DNA,,,DNA,DNA,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1685-15562,,,,,,"B2B Strategic Solutions, Inc.",WBE (6),9,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1685-15562,,,,,,"Tandem Ventures, LLC",WBE (6),6.5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1685-15562,,,,,,Environmental Design International,MBE (6),14.3,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1685-15562,,,,,,"PCG International, Inc.",MBE (6),3.1,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1685-15562,,,,,,"Panacea Group, LLC",MBE (6),2.1,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1490-13846,Traffic Safety School,Dept of Facilities/Mgmt - 200,Award,National Safety Council,,,DNA,,,2,0,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1618-15342,Cook County Fiber Project Phase VI,Office of Chief Info. Officer - 009,Award,"Meade, Inc.",493879.00,,DNA,,,DNA,DNA,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1618-15342,,,,,,Taylor Electric Company,MBE (6),36,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472A,Preliminary Engineering Services,Transportation and Highways - 500,Award,Globetrotters Engineering Corporation,2200000.00,,DNA,,,39,3,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472A,,,,,,"Jones Moore Construction Consulting, LLC",DBE,10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472A,,,,,,"Wynndalco Enterprises, LLC",DBE,10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472A,,,,,,Ardmore Associates,DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472A,,,,,,"Kowalenko Consulting Group, Inc.",DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472A,,,,,,"Geo Services, Inc.",DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472B,Preliminary Engineering Services,Transportation and Highways - 500,Award,HNTB Corporation,2200000.00,,DNA,,,39,3,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472B,,,,,,"AES Services, Inc.",DBE,8,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472B,,,,,,Comprehensive Construction Consulting,DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472B,,,,,,"GSG Consultant, Inc.",DBE,5,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472B,,,,,,"DB Sterlin Consultants, Inc.",DBE,10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472B,,,,,,"Metro Strategies, Inc.",DBE,7,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472B,,,,,,"Onyx Architectural Services, Inc.",DBE,2,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472C,Preliminary Engineering Services,Transportation and Highways - 500,Award,"Milhouse Engineering and Construction, Inc.",2200000.00,"Milhouse Engineering and Construction, Inc.",DBE,71,,39,3,true,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472C,,,,,,"Trinal, Inc.",DBE,3,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
06/03/2016,1528-14472C,,,,,,"Atlas Engineering Group, Ltd.",DBE,10,,,,,http://opendocs.cookcountyil.gov/procurement/intent-award/160608-Intent_to_Award_EDS.pdf
