Link
"Intent to Award posted May 6, 2016 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-May-6-2016.pdf)"
"Intent to Award posted April 8, 2016 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-April-8-2016.pdf)"
"Intent to Award posted March 23, 2016 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-March-23-2016.pdf)"
"Intent to Award posted February 26, 2016 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-February-26-2016.pdf)"
"Intent to Award posted February 5, 2016 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-February-5-2016.pdf)"
"Intent to Award posted January 8, 2016 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-January-8-2015.pdf)"
"Intent to Award posted December 11, 2015 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-December-11-2015.pdf)"
"Intent to Award posted November 13, 2015 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-November-13-2015.pdf)"
"Intent to Award posted October 23, 2015 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-October-23-2015.pdf)"
"Intent to Award Posted October 2, 2015 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-Posted-October-2-2015.pdf)"
"Intent to Award posted September 4, 2015 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-September-4-2015.pdf)"
"Intent to Award posted July 24, 2015 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-July-24-20151.pdf)"
"Intent to Award posted June 26, 2015 (555 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-June-26-2015.pdf)"
"Intent to Award posted June 5, 2015 (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-June-5-20151.pdf)"
"Intent to Award posted May 15, 2015 (560 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-May-15-2015.pdf)"
"Intent to Award posted April 24, 2015 (641 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-April-24-20151.pdf)"
"Intent to Award posted April 10, 2015 (103 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-April-10-2015.pdf)"
"Intent to Award posted March 27, 2015 (275 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-March-27-2015.pdf)"
"Intent to Award posted March 6, 2015 (636 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-March-6-2015.pdf)"
"Intent to Award posted February 6, 2015 (640 KB) (http://opendocs.cookcountyil.gov/procurement/intent-award/Intent-to-Award-posted-February-6-2015-Updated.pdf)"
