DOC_CD,DOC_DEPT_CD,DOC_ID,DOC_VERS_NO,DOC_DSCR,CONTRACT_SYNOPSIS,CONTRACT_CONTACT_NM,CONTRACT_CONTACT_VOICE_PH_NO,CONTRACT_CONTACT_EMAIL_AD,MA_PRCH_LMT_AM,MA_ITD_ORD_AM,MA_DO_RFED_AM,EFBGN_DT,EFEND_DT,GNRC_PO_RPT_1,RPT_DSCR,BRD_AWD_DT,BRD_AWD_NO,CAT_DSCR,DOC_VEND_LN_NO,VEND_CUST_CD,LGL_NM,ALIAS_NM,SO_DOC_CD,SO_DOC_DEPT_CD,SO_DOC_ID,TODAY,ROW_KEY
CT,2200,19022600266,1,DEWATERING ROLL-OFF CONTAINERS,,Central Purchasing Office Receptionist,5129742500,purchinfo@austintexas.gov,223000,223000,0,04/26/2019,,10,Competitive Acquisition,04/27/0019,21,Commodities (Goods),1,VS0000020585,"WWATERTECH SERVICES, INC.","WWATERTECH, INC.",IFB,2200,GLB1015,09/23/2019,CT2200190226002661VS0000020585
CT,5600,15061800649,1,AUDIO VISUAL CONSULTANT FOR CTECC,,Central Purchasing Office Receptionist,5129742500,purchinfo@austintexas.gov,80000,80000,79107.23,07/02/2015,,10,Competitive Acquisition,06/20/0015,40,Professional Services,1,V00000907146,"SHEN MILSOM & WILKE, LLC",N/A,RFQS,5600,JXH0700,09/23/2019,CT5600150618006491V00000907146
CT,6100,07082802394,8,REISSUE-WATER TREATMENT PLANT NO. 4 ENVIRONMENTAL SERVICES,,Contract and Land Management Department,unknown,unknown,1658221.68,1658221.68,1648221.68,06/04/2008,,10,Competitive Acquisition,06/23/0007,0,Professional Services,1,INT8308241,"INTERA, INC",N/A,RFQS,6100,PWP0011,09/23/2019,CT6100070828023948INT8308241
CT,6100,08071602240,16,HOLLY STREET POWER PLANT DECOMMISSIONING,,Contract and Land Management Department,unknown,unknown,10793834.72,10793834.72,10462727.15,11/24/2008,,10,Competitive Acquisition,05/25/0013,14,Professional Services,1,WES5125100,WESTON SOLUTIONS INC,"WESTON SOLUTIONS, INC.",RFQS,6100,PWP0031,09/23/2019,CT61000807160224016WES5125100
CT,6100,09031601079,6,AUSTIN ENERGY CONTROL CENTER COMMISSIONING SERVICES,,Contract and Land Management Department,unknown,unknown,545682,545682,529534,10/02/2009,,55,Pers / Prof / Plan Svcs (252),11/08/0008,12,Sole and Single Source,1,ACR0045900,ACR ENGINEERING INC,N/A,RFQS,6100,PWP0064A,09/23/2019,CT6100090316010796ACR0045900
CT,6100,09031701097,9,MOPAC BICYCLE BRIDGE OVER BARTON CREEK,,Contract and Land Management Department,unknown,unknown,2200554,2200554,2145776,10/28/2009,,10,Competitive Acquisition,10/18/0014,3,Professional Services,1,HDR8318192,HDR ENGINEERING INC,HDR/CLAUNCH & MILLER,RFQS,6100,PWP0049,09/23/2019,CT6100090317010979HDR8318192
CT,6100,09051901445,5,DAVIS WATER TREATMENT PLANT POWER DISTRIBUTION UPGRADE,,Contract and Land Management Department,unknown,unknown,6739674.93,6739674.93,5229503.05,01/21/2010,,10,Competitive Acquisition,08/06/0016,19,Professional Services,1,HUR2455500,HARUTUNIAN ENGINEERING INC,N/A,RFQS,6100,PWP0053,09/23/2019,CT6100090519014455HUR2455500
CT,6100,09060501513,4,WATER DISTRIBUTION CONTROL SYSTEM& LIFT STATION TELEMETRY,,Contract and Land Management Department,unknown,unknown,2100902.63,2100902.63,1807833.24,04/02/2010,,55,Pers / Prof / Plan Svcs (252),08/24/0013,13,Sole and Single Source,1,CHM7087490,CH2M HILL INC,N/A,RFQS,6100,PWP0066,09/23/2019,CT6100090605015134CHM7087490
CT,6100,09092802083,7,AUSTIN CONVENTION CENTER WALLER CREEK TERRACE ROOM RECONFIGU,,Contract and Land Management Department,unknown,unknown,269645.2,269645.2,265588.16,02/26/2010,,10,Competitive Acquisition,09/26/0009,22,Construction,1,VS0000001303,"C.L. CARSON, INC","C.L. CARSON, INC",IFB,6100,CLMC059,09/23/2019,CT6100090928020837VS0000001303
CT,6100,09120800374,10,PARMER LANE INTERCEPTOR,,Contract and Land Management Department,unknown,unknown,6324543.3,6324543.3,5865080.85,01/29/2010,,55,Pers / Prof / Plan Svcs (252),12/03/0016,13,Sole and Single Source,1,VS0000002369,KENNEDY/JENKS CONSULTANTS INC,KENNEDY/JENKS CONSULTANTS,RFQS,6100,CLMP009,09/23/2019,CT61000912080037410VS0000002369
CT,6100,10031100831,1,LABORATORY INFORMATION SYSTEM (LIMS),,Contract and Land Management Department,unknown,unknown,325095.85,325095.85,296730.48,03/11/2010,,10,Competitive Acquisition,11/21/0009,25,Professional Services,1,VS0000024846,ASTRIX SOFTWARE TECHNOLOGY,ASTRIX TECHNOLOGY GROUP,RFQS,6100,CLMP017,09/23/2019,CT6100100311008311VS0000024846
CT,6100,10100600013,7,NEW CENTRAL LIBRARY - COMMISSIONING AGENT,,Contract and Land Management Department,unknown,unknown,734731,734731,733699.47,10/06/2010,,10,Competitive Acquisition,12/19/0009,37,Non-Professional Services,1,VS0000015711,SEBESTA INC.,NV5,RFQS,6100,CLMP018,09/23/2019,CT6100101006000137VS0000015711
CT,6100,11032900799,17,EMS #33,,Contract and Land Management Department,unknown,unknown,2087652.5,2087652.5,2085536.36,03/29/2011,,10,Competitive Acquisition,12/08/0012,13,Construction,1,BAR7159760,BARECKY CONSTRUCTION CO,N/A,IFB,6100,CLMC240,09/23/2019,CT61001103290079917BAR7159760
CT,6100,11040700843,8,WALNUT CREEK WWTP AND SARWWTP FILTER IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,3105279.25,3105279.25,3058253.69,04/08/2011,,10,Competitive Acquisition,12/09/0017,24,Professional Services,1,EAR8307803,AECOM TECHNICAL SERVICES INC,N/A,RFQS,6100,CLMP034,09/23/2019,CT6100110407008438EAR8307803
CT,6100,11071101170,6,SHOAL CREEK GREENBELT AT PEASE PARK WATER QUALITY AND STREAM,,Contract and Land Management Department,unknown,unknown,1458667,1458667,1442881.51,07/12/2011,,55,Pers / Prof / Plan Svcs (252),03/08/0014,5,Sole and Single Source,1,HDR8318192,HDR ENGINEERING INC,HDR/CLAUNCH & MILLER,RFQS,6100,CLMP076,09/23/2019,CT6100110711011706HDR8318192
CT,6100,12031300709,14,SECOND STREET DISTRICT STREETSCAPE ST. RECONST & UTILITY PH3,,Contract and Land Management Department,unknown,unknown,4705589.43,4705589.43,4670346.62,03/16/2012,,10,Competitive Acquisition,12/17/0011,4,Construction,1,SMI8307578,M.A. SMITH CONTRACTING CO INC,SMITH CONTRACTING CO INC,IFB,6100,CLMC299,09/23/2019,CT61001203130070914SMI8307578
CT,6100,12032100746,5,HOLLY SHORES / FESTIVAL BEACH MASTER PLAN,,Contract and Land Management Department,unknown,unknown,424270.97,424270.97,411267.04,03/21/2012,,55,Pers / Prof / Plan Svcs (252),11/22/0014,24,Sole and Single Source,1,VS0000015296,"MICHAEL VAN VALKENBURGH ASSOCIATES, INC.",N/A,RFQS,6100,CLMP047A,09/23/2019,CT6100120321007465VS0000015296
CT,6100,13090400905,2,PUBLIC ACCESS TELEVISION HVAC REPLACEMENT,,Contract and Land Management Department,unknown,unknown,127777,127777,123725,09/19/2013,,10,Competitive Acquisition,08/31/0013,11,Construction,1,MEC8310574,MECHANICAL & PROCESS SYSTEMS,N/A,IFB,6100,CLMC434,09/23/2019,CT6100130904009052MEC8310574
CT,6100,14041000463,8,SHOAL CREEK RESTORATION - 15TH TO 28TH STREETS,,Contract and Land Management Department,unknown,unknown,6470350.16,6470350.16,6110169.33,04/15/2014,,10,Competitive Acquisition,03/08/0014,6,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC470,09/23/2019,CT6100140410004638SAN8316404
CT,6100,14051200536,6,3RD STREET RECONSTRUCTION PHASE 3 CONGRESS AVE. TO GUADALUPE,,Contract and Land Management Department,unknown,unknown,4023557.16,4023557.16,3973557.16,05/12/2014,,10,Competitive Acquisition,04/19/0014,9,Construction,1,SMI8307578,M.A. SMITH CONTRACTING CO INC,SMITH CONTRACTING CO INC,IFB,6100,CLMC468A,09/23/2019,CT6100140512005366SMI8307578
CT,6100,14102400041,3,WALLER CREEK TUNNEL 8TH ST. CREEK SIDE INLET FACILITY REBID,,Contract and Land Management Department,unknown,unknown,6516727.5,6516727.5,6048778.98,10/24/2014,,10,Competitive Acquisition,05/14/0016,5,Construction,1,REN3915750,OSCAR RENDA CONTRACTING INC,N/A,IFB,6100,CLMC456A,09/23/2019,CT6100141024000413REN3915750
CT,6100,15090300899,8,MAINS TO CAPITOL COMPLEX AISD,,Contract and Land Management Department,unknown,unknown,4734429.73,4734429.73,4724273.42,09/23/2015,,10,Competitive Acquisition,08/22/0015,6,Construction,1,PEA7124270,PEABODY GENERAL CONTRACTORS INC,PEABODY GENERAL CONTRACTORS,IFB,6100,CLMC498,09/23/2019,CT6100150903008998PEA7124270
CT,6100,15091700965,9,ULLRICH HYDRAULIC & ENERGY EFFICIENCY IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,7630116.43,7630116.43,7212317.25,10/02/2015,,10,Competitive Acquisition,10/08/0016,8,Construction,1,VS0000037240,"PLW WATERWORKS, LLC",N/A,IFB,6100,CLMC547,09/23/2019,CT6100150917009659VS0000037240
CT,6100,15091800971,15,COLORADO STREET RECONST. & UTILITY ADJ. 7TH-10TH ST. REBID,,Contract and Land Management Department,unknown,unknown,6118422.09,6118422.09,5895425.28,09/23/2015,,10,Competitive Acquisition,03/04/0017,5,Construction,1,MUN7143465,MUNIZ CONCRETE & CONTRACTING INC,N/A,IFB,6100,CLMC532A,09/23/2019,CT61001509180097115MUN7143465
CT,6100,15120400140,1,HOWARD LANE RESERVOIR #1 IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,1959723,1959723,1908476.42,12/14/2015,,10,Competitive Acquisition,11/21/0015,10,Construction,1,BLA8301292,BLASTCO TEXAS INC,N/A,IFB,6100,CLMC557,09/23/2019,CT6100151204001401BLA8301292
CT,6100,16022200342,4,FIRE STATION #8 & #32 DRIVEWAY REPAIRS,,Contract and Land Management Department,unknown,unknown,251926.43,251926.43,251926.4,06/16/2016,,10,Competitive Acquisition,02/06/0016,8,Construction,1,SOU7167450,RS ELLIS INC,SOUTHWEST CORPORATION,IFB,6100,CLMC508,09/23/2019,CT6100160222003424SOU7167450
CT,6100,16040500516,11,DAVIS WATER TREATMENT PLANT TREATED WATER DISCHARGE SYSTEM,,Contract and Land Management Department,unknown,unknown,44733156.4,44733156.4,21763600.33,04/13/2016,,10,Competitive Acquisition,04/02/0016,11,Construction,1,MAT8308109,MATOUS CONSTRUCTION LTD,MATOUS CONSTRUCTION,IFB,6100,CLMC569,09/23/2019,CT61001604050051611MAT8308109
CT,6100,16052400619,8,SAR WWTP TRAINS A & B BLOWER REPLACEMENT,,Contract and Land Management Department,unknown,unknown,23536370.24,23536370.24,23536033.69,06/01/2016,,10,Competitive Acquisition,05/21/0016,9,Construction,1,MAT8308109,MATOUS CONSTRUCTION LTD,MATOUS CONSTRUCTION,IFB,6100,CLMC573,09/23/2019,CT6100160524006198MAT8308109
CT,6100,16062700714,3,LOST CREEK RESERVOIR IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,1783936.07,1783936.07,1744347.15,07/07/2016,,10,Competitive Acquisition,06/25/0016,10,Construction,1,BLA8301292,BLASTCO TEXAS INC,N/A,IFB,6100,CLMC590,09/23/2019,CT6100160627007143BLA8301292
CT,6100,16080400825,8,DAVIS WTP POWER DISTRIBUTION UPGRADE,,Contract and Land Management Department,unknown,unknown,25862328.03,25862328.03,20086611.18,11/28/2016,,10,Competitive Acquisition,08/06/0016,6,Construction,1,TMO8320608,T MORALES COMPANY ELECTRIC & CONTROLS LTD,N/A,IFB,6100,CLMC585,09/23/2019,CT6100160804008258TMO8320608
