Type of Service,Aggregation Level,State/ Territory,County,Number of Fee-for-Service Beneficiaries,Number of Providers,Average Number of Users per Provider,Percentage of Users out of FFS Beneficiaries,Average Number of Providers per County,Moratorium State/County,Number of Fee-for-Service Beneficiaries Colors - Single Color Scale,Number of Fee-for-Service Beneficiaries Colors - Dual Color Scale,Number of Fee-for-Service Beneficiaries Description,Number of Providers Colors - Single Color Scale,Number of Providers Colors - Dual Color Scale,Number of Providers Description,Average Number of Users per Provider Colors - Single Color Scale,Average Number of Users per Provider Colors - Dual Color Scale,Average Number of Users per Provider Description,Percentage of Users out of FFS Beneficiaries Colors - Single Color Scale,Percentage of Users out of FFS Beneficiaries Colors - Dual Color Scale,Percentage of Users out of FFS Beneficiaries Description,Average Number of Providers per County Colors - Single Color Scale,Average Number of Providers per County Colors - Dual Color Scale,Average Number of Providers per County Description
Home Health,STATE,AK,--ALL--,72915,10,210.5,2.9%,2.5,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
Home Health,STATE,AL,--ALL--,733274,145,475.2,9.4%,9.1,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (293 - 562 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,AR,--ALL--,489285,153,224.8,7%,6.2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,AZ,--ALL--,694467,137,287,5.7%,47.6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (494,009 - 933,450 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (29.3 - 64.0 Providers)
Home Health,STATE,CA,--ALL--,3221646,1127,256.5,9%,204,No,ORANGE 5,GREEN 5,"Extreme Values (More than 1,974,285 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 377 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 64.0 Providers)
Home Health,STATE,CO,--ALL--,485070,122,272.8,6.9%,20,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,CT,--ALL--,457026,86,563.1,10.6%,32.5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 494,008 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (45 - 107 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (29.3 - 64.0 Providers)
Home Health,STATE,DC,--ALL--,67248,33,155.5,7.6%,33,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 222 Users),ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (29.3 - 64.0 Providers)
Home Health,STATE,DE,--ALL--,165040,23,581.3,8.1%,14.1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (7.9 - 8.9% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (11.9 - 29.2 Providers)
Home Health,STATE,FL,--ALL--,2517667,1059,293.2,12.3%,72.9,Yes,ORANGE 5,BLUE 5,"Extreme Values (More than 1,974,285 Beneficiaries)",ORANGE 5,BLUE 5,Extreme Values (More than 377 Providers),ORANGE 3,BLUE 3,Third Lowest 25% (293 - 562 Users),ORANGE 4,BLUE 4,Top 25% Excl. Extreme Values (9.0 - 12.9% of Beneficiaries),ORANGE 5,BLUE 5,Extreme Values (More than 64.0 Providers)
Home Health,STATE,GA,--ALL--,1069630,113,721.9,7.6%,8.7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (108 - 177 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (563 - 1,073 Users)",ORANGE 2,GREEN 2,Second Lowest 25% (6.2 - 7.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (6 - 11.8 Providers)
Home Health,STATE,HI,--ALL--,120491,12,228.4,2.3%,4.7,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 45 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (222 - 292 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 6.2% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 6 Providers)
